ProductID,ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,Product Category,Product Category Description,rating,stock,SKU,joinedat,discount,properties
10028137,Park Avenue Men Green Printed Round Neck T-shirt,Park Avenue,Men,503,"Green and Blue printed T-shirt, has a round neck, and short sleeves", Green,T-shirt,T-shirt,4.9,81,T-s001,"01/13/2022, 02:52:51",13.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10132371,Karmic Vision Women Red & White Colourblocked One-Shoulder A-Line Dress,Karmic Vision,Women,701,"Red and white colourblocked woven A-line dress, has one shoulder styling, sleeveless, concealed zip closure, straight hem", Red,Dress,Dress,4.0,15,Dre001,"01/13/2022, 02:52:51",16.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10226697,Signature Sole Women Nude-Coloured Solid Heels,Signature Sole,Women,1160,"A pair of nude-coloured open toe solid heels , has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 2 monthsWarranty provided by brand/manufacturer", Red,Heels,Heels,3.2,52,Hee001,"01/13/2022, 02:52:51",21.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10128967,Minions by Kook N Keech Women Yellow Printed Hooded Sweatshirt,Minions by Kook N Keech,Women,509,"Yellow printed sweatshirt, has a hood, two pockets, long sleeves, straight hem", Yellow,Sweatshirt,Sweatshirt,2.3,80,Swe001,"01/13/2022, 02:52:51",3.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10248261,Puma Unisex Navy Blue & Grey Solid Vista Sneakers,Puma,Unisex,3249,"Special Technology:SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfortProduct Design Details:A pair of round-toe navy blue sneakers, has regular styling, lace-up detailMesh upper with suede and synthetic leather overlaysOpen-air mesh heel pieceComfortable slip-on sock structure with lace closureEVA midsole for cushioning and comfortRubber outsole for better traction and gripSynthetic leather PUMA Formstrip on lateral sidePUMA branding on tongueWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue,Sneaker,Sock,2.1,22,Sne001,"01/13/2022, 02:52:51",18.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10135979,Indian Terrain Boys Grey Melange Printed Sweatshirt,Indian Terrain,Boys,719,"Grey Melange printed sweatshirt, has a Mock collar, applique detail, two pockets, long sleeves, zip closure, straight hem", Grey,Sweatshirt,Sweatshirt,3.0,15,Swe002,"01/13/2022, 02:52:51",8.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10081151,Chumbak Women Black Analogue Watch 8907605068843,Chumbak,Women,1017,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round brass dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: Non-ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Chumbak case", Black,Watch,Bra,2.3,29,Wat001,"01/13/2022, 02:52:51",16.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10053779,Cottinfab Women Green Solid Basic Jumpsuit,Cottinfab,Women,752,"Green solid basic jumpsuit with tie-up and pleated detail, has a shirt collar, short sleeves, button closure, two pockets", Green,Jumpsuit,Shirt,1.1,67,Jum001,"01/13/2022, 02:52:51",34.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10197463,CALFNERO Men Brown Solid Two Fold Leather Wallet,CALFNERO,Men,479,Brown solid wallet2 main compartment3 card holderss, Brown,Wallet,Wallet,2.1,28,Wal001,"01/13/2022, 02:52:51",37.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
10142455,DOROTHY PERKINS Women Mustard Yellow Regular Fit Solid Cropped Trousers,DOROTHY PERKINS,Women,1999,"Mustard yellow solid mid-rise cropped trousers, has a hook and bar closure, zip fly, two mock pockets on the back", Yellow,Trousers,Trousers,2.6,79,Tro001,"01/13/2022, 02:52:51",30.0,"{'size': {'value': ['SM', 'L']}, 'color': {'value': ['white', 'blue']}, 'material': {'value': 'cotton'}}"
